1065, 2095, 50, 610
0, 0, 50, 1435
0, -50, 2880, 50
210, 1170, 570, 50
255, 160, 450, 50
425, 570, 50, 600
205, 160, 50, 420
660, 960, 455, 50
1840, 810, 395, 50
50, 950, 165, 50
210, 750, 50, 420
255, 340, 455, 50
2055, 210, 400, 50
1125, 255, 50, 80
660, 390, 50, 420
1640, 600, 765, 50
905, 0, 50, 555
3065, 660, 420, 50
2185, 860, 50, 345
1590, 0, 50, 215
955, 505, 455, 50
1360, 205, 50, 300
1125, 205, 235, 50
2830, 0, 50, 955
1770, 210, 50, 175
1640, 385, 180, 50
1590, 210, 180, 50
2415, 825, 50, 475
710, 760, 930, 50
2405, 260, 50, 385
2625, 0, 50, 640
2055, 385, 180, 50
2005, 210, 50, 225
3185, 955, 50, 180
2230, 1300, 415, 50
2395, 2420, 515, 50
3265, 2270, 50, 435
2880, 905, 355, 50
2625, 825, 50, 135
2415, 775, 260, 50
1065, 1005, 50, 895
50, 1385, 1015, 50
1355, 1370, 420, 50
1305, 810, 50, 610
2040, 1205, 50, 365
1305, 1615, 50, 880
1115, 2095, 190, 50
1775, 1370, 50, 250
1825, 1570, 265, 50
1545, 1155, 640, 50
1590, 385, 50, 375
1545, 975, 495, 50
1790, 810, 50, 165
2630, 1090, 555, 50
2230, 1350, 50, 410
3080, 1315, 355, 50
3435, 710, 50, 2045
3255, 1760, 180, 50
1065, 2705, 2370, 50
3080, 1365, 50, 1110
3125, 1970, 180, 50
2075, 2025, 810, 50
2395, 2075, 50, 345
2565, 2220, 515, 50
2480, 1525, 400, 50
1540, 1760, 1540, 50
2830, 1140, 50, 385
3130, 1525, 180, 50
1540, 1810, 50, 365
1305, 1565, 265, 50
1355, 2445, 230, 50
1805, 2025, 50, 680
1855, 2510, 390, 50
2025, 1810, 50, 505
2195, 2240, 50, 270
